fecha,usuarios sin suministro edesur,usuarios sin suministro edenor
2016-01-1314:10:05,68,4597
2016-01-1315:10:05,3121,9166
2016-01-1316:10:04,3121,6670
2016-01-1317:10:04,70,6670
2016-01-1318:10:04,70,6670
2016-01-1319:10:04,68,3046
2016-01-1320:10:04,68,788
2016-01-1321:10:04,68,136
2016-01-1322:10:04,3362,136
2016-01-1323:10:05,5085,5871
2016-01-1400:10:04,1866,4732
2016-01-1401:10:05,1866,4732
2016-01-1402:10:04,4406,1751
2016-01-1403:10:05,7887,379
2016-01-1404:10:04,346,379
2016-01-1405:10:04,346,376
2016-01-1406:10:04,346,376
2016-01-1407:10:03,3927,376
2016-01-1408:10:04,2633,383
2016-01-1409:10:04,2633,890
2016-01-1410:10:04,2633,3237
2016-01-1411:10:04,6248,3234
2016-01-1412:10:04,6727,3234
2016-01-1413:10:04,6727,1287
2016-01-1414:10:05,4451,1287
2016-01-1415:10:04,3723,1287
2016-01-1416:10:05,1702,1287
2016-01-1417:10:03,1702,1912
2016-01-1418:10:04,1702,1591
2016-01-1419:10:05,3664,1056
2016-01-1420:10:05,1467,2052
2016-01-1421:10:05,109,1946
2016-01-1422:10:04,5577,1945
2016-01-1423:10:04,12349,377
2016-01-1500:10:04,11104,377
2016-01-1501:10:04,11104,377
2016-01-1502:10:04,10868,377
2016-01-1503:10:04,5779,377
2016-01-1504:10:04,5779,377
2016-01-1505:10:05,6539,377
2016-01-1506:10:05,5779,377
2016-01-1507:10:05,5779,377
2016-01-1508:10:04,12784,377
2016-01-1509:10:05,5670,1518
2016-01-1510:10:04,5670,1833
2016-01-1511:10:04,225,1834
2016-01-1512:10:05,225,1835
2016-01-1513:10:04,225,5318
2016-01-1514:10:04,225,6930
2016-01-1515:10:04,6193,3273
2016-01-1516:10:04,6193,8833
2016-01-1517:10:04,4219,7385
2016-01-1518:10:04,4219,7152
2016-01-1519:10:04,6914,7305
2016-01-1520:10:03,3352,7460
2016-01-1521:10:04,2751,5660
2016-01-1522:10:04,8419,2677
2016-01-1523:10:04,4662,30
2016-01-1600:10:04,852,30
2016-01-1601:10:04,852,30
2016-01-1602:10:04,324,30
2016-01-1603:10:04,2833,30
2016-01-1604:10:05,345,30
2016-01-1605:10:04,3565,4054
2016-01-1606:10:04,3489,540
2016-01-1607:10:04,3489,2529
2016-01-1608:10:04,3582,541
2016-01-1609:10:04,3582,541
2016-01-1610:10:04,3285,413
2016-01-1611:10:03,325,413
2016-01-1612:10:04,305,603
2016-01-1613:10:04,305,522
2016-01-1614:10:03,305,552
2016-01-1615:10:04,305,251
2016-01-1616:10:04,305,31
2016-01-1617:10:03,305,31
2016-01-1618:10:04,27,5047
2016-01-1619:10:05,27,3120
2016-01-1620:10:03,27,1243
2016-01-1621:10:04,27,516
2016-01-1622:10:04,27,515
2016-01-1623:10:04,17159,515
2016-01-1700:10:04,17159,515
2016-01-1701:10:04,17159,515
