"id","fecha_delito","descripcion","comentario","lat","lng","tiny"
"431","2014-11-16 02:31:00","Abuso / Violacion","Hombre encapuchado, campera de color gris tipo yoguin, short negro. 
llevaba a su victima del cuello hasta la esquina para cometer dicho delito. se fuga por 26 de abril hacia el norte. ","-34.63913995575289","-58.69611024856567","http://tinyurl.com/q2ckhgt"
"432","2014-11-13 02:00:00","Hurto/Robo","Se lo llevaron d la puerta d mi casa.. Calculo q lo habrÃ¡n empujado xq no escuchamos nada ni siquiera los perros ladraron...","-36.323287","-65.005171","http://tinyurl.com/pjgb9ag"
"433","2014-11-16 13:30:00","Hurto/Robo","No estÃ¡bamos en casa. Nos forzaron la puerta entraron pero sonÃ³ la alarma y no llegaron a robar nada.  ","-36.323287","-65.005171","http://tinyurl.com/pjgb9ag"
"434","2014-6-26 03:50:00","Robo con Arma","Nos despertamos con 3 chicos armados dentro de casa. Nos ataron .durante 1hora revisaron y nos llevaron todo","-36.323287","-65.005171","http://tinyurl.com/pjgb9ag"
"435","2014-11-20 11:30:00","Robo con Arma","En el dÃ­a de la fecha 4 Delincuentes en 2 Motos Asaltan a una seÃ±ora de 60/70 aÃ±os que estaba con su nieta de 6 aÃ±os en la puerta de su casa (duplex) ; se llevaron dinero y objetos de va","-34.64760474263364","-58.66868734359741","http://tinyurl.com/nr3bzqq"
"438","2014-11-20 11:30:00","Hurto/Robo","En este domicilio, personal policial incauto 3 motos robadas en lo que va del AÃ±o (uno de los dueÃ±os de la casa esta preso por robo)","-34.64647497746325","-58.66919159889221","http://tinyurl.com/pnny2hb"
"439","2014-11-8 04:30:00","Robo con Arma","Robo en el domicilio de la esquina quesada y camacua (casa blanca con ventanas de madera y palmeras) entraron a la casa haciÃ©ndose pasar por personal de Telefonica y desvalijaron la viviend","-34.64809901005473","-58.66841912269592","http://tinyurl.com/qyqhe5d"
"440","2014-11-22 12:30:00","Hurto/Robo","me tiraron una tuerca para el auto, al oir una explosiÃ³n del lado de la rueda trasera freno con las balizas, aparece un tipo me distrae y otro me saca la cartera del asiento","-36.323287","-65.005171","http://tinyurl.com/pjgb9ag"
"441","2014-11-23 22:18:00","Secuestro","Secuestran a una chica en zona don bosco, pidiendo 20mil para liberarla. Llamaron a la brigada y les dijeron que consigan lo que les piden!!","-34.660587110680126","-58.56180667877197","http://tinyurl.com/mhzll3x"
"442","2014-11-24 00:00:00","Abuso / Violacion","Un grupo de padres de la escuela Juan Bautista Alberdi asegurÃ³ que un cocinero del establecimiento violÃ³ al menos a cuatro menores de edad y revelÃ³ la pesadilla que viven los chicos. ","-34.64851383936589","-58.65763664245605","http://tinyurl.com/ol2zglw"
"443","2014-11-27 06:46:00","Robo con Arma","Mi hermana paro con el auto vinieron 2 pibes los tiraron al piso y se llevaron el auto.dicen que bajaron a la vuelta de un auto rojo que venÃ­an 2 mas.y se fueron.
 ","-34.66140781639756","-58.659979819613","http://tinyurl.com/mtbondc"
"444","2014-12-7 18:00:00","Robo con Arma","Dos persona en una motocross (roja, gris) sujeto contextura mediana, chomba a rayas , gorra violeta vermudas. El otro , chomba a rayas (negra y gris) pantalon deportivo negro.  ","-34.67600268581724","-58.675371408462524","http://tinyurl.com/lfojwrs"
"445","2014-12-15 11:40:00","Hurto/Robo","Dos morocho rÃ­os le robaron la moto a un muchacho a punta de pistola ","-40.02761443748664","-63.720703125","http://tinyurl.com/pv5ynwh"
"446","2014-12-18 23:00:00","Robo con Arma","la pareja fue sorprendida por un hombre armado que descendiÃ³ de un auto Audi color negro y los obligÃ³ a meterse con Ã©l en la casa. En el auto habÃ­a ademÃ¡s otros
http://tinyurl.com/mmt8a","-34.665559763286566","-58.55692505836487","http://tinyurl.com/p28gf5v"
"447","2014-12-21 18:10:00","Robo con Arma","se escucharon tiros y una persecuciÃ³n ","-34.67947454458846","-58.57581853866577","http://tinyurl.com/pojfqfa"
"448","2014-12-26 14:30:00","Robo con Arma","a una pareja de mas de 70 aÃ±os de edad.. eran 2 hombres y una mujer. A Ã©l li cortaron por todo el cuerpo con un destornillador y lo amenazaron con una picana. DespuÃ©s cortaron los cables ","-34.65755130738253","-58.548266887664795","http://tinyurl.com/nxsf5dz"
